1,hello i m bank manager of SBI ur debit card is about to expire would u want to issue new  card
1,Todays Vodafone numbers ending with 4882 are selected to a receive a 350 award If your number matches call 09064019014 to receive your 350 award
1,You have won 1000 cash or a 2000 prize To claim call 09050000327
1,hello sir i am from jio customer care in 23 hours your sim will be closed do u want to activate it
1,hello sir i am from airtel customer care in 23 hours your sim will be closed do u want to activate it
1,hello sir i am from idea customer care in 23 hours your sim will be closed do u want to activate it
1,hello sir i am from vodafone customer care in 23 hours your sim will be closed do u want to activate it
1,hello sir i am from bsnl customer care in 23 hours your sim will be closed do u want to activate it
1,hello sir i am from mtnl customer care in 23 hours your sim will be closed do u want to activate it
1,hello sir i am from jio customer care in 23 hours your sim will be deactivate do u want to activate it
1,hello sir i am from airtel customer care in 23 hours your sim will be deactivate do u want to activate it
1,hello sir i am from idea customer care in 23 hours your sim will be deactivate do u want to activate it
1,hello sir i am from vodafone customer care in 23 hours your sim will be deactivate do u want to activate it
1,hello sir i am from bsnl customer care in 23 hours your sim will be deactivate do u want to activate it
1,hello sir i am from jio customer care center we are doing verification of yours number thats why in your phone four digit opt will have send tell me that otp
1,hello sir i am from airtel customer care center we are doing verification of yours number thats why in your phone four digit opt will have send tell me that otp
1,hello sir i am from idea customer care center we are doing verification of yours number thats why in your phone four digit opt will have send tell me that otp
1,hello sir i am from vodafone customer care center we are doing verification of yours number thats why in your phone four digit opt will have send tell me that otp
1,hello sir i am from bsnl customer care center we are doing verification of yours number thats why in your phone four digit opt will have send tell me that otp
1,hello sir this is your hdfc bank manager your kyc has been expiredso you have to kyc your self but due to covid setuation we are doing kyc online pleae tell me your account detail
1,hello sir this is your icici bank manager your kyc has been expiredso you shave to kyc your self but due to covid setuation we are doing kyc online pleae tell me your account detail
1,hello sir this is your axis bank manager your kyc has been expiredso you have to kyc your self but due to covid setuation we are doing kyc online pleae tell me your account detail
1,hello sir this is your uniun bank manager your kyc has been expiredso you have to kyc your self but due to covid setuation we are doing kyc online pleae tell me your account detail
1,hello sir this is your sbi bank manager your kyc has been expiredso you have to kyc your self but due to covid setuation we are doing kyc online pleae tell me your account detail
1,hello sir this is your allahabad bank manager your kyc has been expiredso you have to kyc your self but due to covid setuation we are doing kyc online pleae tell me your account detail
1,hello sir Are you using bhimupi  sir you have to upgrate your bhimupi othr wise you account will be block
1,hello sir tell me your creditdebit card mobile number and aadhar card
1,hello i am from income text department you have not registered your aadhar to your pan card please tell me your aadhar number to coonect to your pan card
1,hello sir i am from bank please tell me your card cvv number for your bank verification
1,hello sir i am from union bank sir i have call you for your bank account verification do you want verify your account sir then tell me your aadhar card number and pan card and your debitcredit card number
1,hello sir i am from sbi bank sir i have call you for your bank account verification do you want verify your account sir then tell me your aadhar card number and pan card and your debitcredit card number
